gene_id	gene_name	transcript_id	sample	TPM	treat	batch	time_point
ENSMUSG00000066800	Rnasel	ENSMUST00000086209	LM411_R2_t1	0.94	LM411	R2	t1
ENSMUSG00000066800	Rnasel	ENSMUST00000182131	LM411_R2_t1	0.26	LM411	R2	t1
ENSMUSG00000066800	Rnasel	ENSMUST00000182538	LM411_R2_t1	2.47	LM411	R2	t1
ENSMUSG00000066800	Rnasel	ENSMUST00000182722	LM411_R2_t1	2.37	LM411	R2	t1
ENSMUSG00000066800	Rnasel	ENSMUST00000183241	LM411_R2_t1	0.47	LM411	R2	t1
ENSMUSG00000069049	Eif2s3y	ENSMUST00000091197	LM411_R2_t1	55.73	LM411	R2	t1
ENSMUSG00000069049	Eif2s3y	ENSMUST00000148961	LM411_R2_t1	3.74	LM411	R2	t1
ENSMUSG00000069255	Dusp22	ENSMUST00000091672	LM411_R2_t1	3.31	LM411	R2	t1
ENSMUSG00000069255	Dusp22	ENSMUST00000095914	LM411_R2_t1	4.07	LM411	R2	t1
ENSMUSG00000072915	Gm12258	ENSMUST00000093768	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000072915	Gm12258	ENSMUST00000139337	LM411_R2_t1	1.76	LM411	R2	t1
ENSMUSG00000075054	Yae1d1	ENSMUST00000099735	LM411_R2_t1	2.16	LM411	R2	t1
ENSMUSG00000075054	Yae1d1	ENSMUST00000222796	LM411_R2_t1	11.48	LM411	R2	t1
ENSMUSG00000075270	Pde11a	ENSMUST00000099992	LM411_R2_t1	0.14	LM411	R2	t1
ENSMUSG00000075270	Pde11a	ENSMUST00000124825	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000075270	Pde11a	ENSMUST00000144892	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000078606	Gvin2	ENSMUST00000106766	LM411_R2_t1	0.31	LM411	R2	t1
ENSMUSG00000078606	Gvin2	ENSMUST00000176994	LM411_R2_t1	1.08	LM411	R2	t1
ENSMUSG00000085175	Gm11423	ENSMUST00000136051	LM411_R2_t1	1.26	LM411	R2	t1
ENSMUSG00000085175	Gm11423	ENSMUST00000152784	LM411_R2_t1	0.24	LM411	R2	t1
ENSMUSG00000085175	Gm11423	ENSMUST00000246962	LM411_R2_t1	0.6	LM411	R2	t1
ENSMUSG00000089726	NA	ENSMUST00000134140	LM411_R2_t1	1.03	LM411	R2	t1
ENSMUSG00000089726	NA	ENSMUST00000350200	LM411_R2_t1	18.11	LM411	R2	t1
ENSMUSG00000091994	E130317F20Rik	ENSMUST00000168521	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000091994	E130317F20Rik	ENSMUST00000217802	LM411_R2_t1	1.62	LM411	R2	t1
ENSMUSG00000091994	E130317F20Rik	ENSMUST00000295784	LM411_R2_t1	0.3	LM411	R2	t1
ENSMUSG00000095677	Dynlt1f	ENSMUST00000179554	LM411_R2_t1	39.01	LM411	R2	t1
ENSMUSG00000095677	Dynlt1f	ENSMUST00000232452	LM411_R2_t1	0.91	LM411	R2	t1
ENSMUSG00000097885	NA	ENSMUST00000180404	LM411_R2_t1	0.5	LM411	R2	t1
ENSMUSG00000097885	NA	ENSMUST00000181303	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000097885	NA	ENSMUST00000293985	LM411_R2_t1	0.63	LM411	R2	t1
ENSMUSG00000097885	NA	ENSMUST00000293987	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000097885	NA	ENSMUST00000293989	LM411_R2_t1	0.06	LM411	R2	t1
ENSMUSG00000113902	Ndufb1	ENSMUST00000221191	LM411_R2_t1	25.83	LM411	R2	t1
ENSMUSG00000113902	Ndufb1	ENSMUST00000221227	LM411_R2_t1	34.94	LM411	R2	t1
ENSMUSG00000113902	Ndufb1	ENSMUST00000221422	LM411_R2_t1	64.56	LM411	R2	t1
ENSMUSG00000113902	Ndufb1	ENSMUST00000222608	LM411_R2_t1	10.59	LM411	R2	t1
ENSMUSG00000114797	Nupl1	ENSMUST00000041905	LM411_R2_t1	38.72	LM411	R2	t1
ENSMUSG00000114797	Nupl1	ENSMUST00000223596	LM411_R2_t1	6.65	LM411	R2	t1
ENSMUSG00000114797	Nupl1	ENSMUST00000225111	LM411_R2_t1	6.83	LM411	R2	t1
ENSMUSG00000117098	NA	ENSMUST00000233357	LM411_R2_t1	102.07	LM411	R2	t1
